name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
The Blue Lady of Coffin Hall,CarolynKeene,JorjeanaMarie,2022-04-01,English,3.66,5.0,2.0,232
Unlocked,ShannonMessenger,CaitlinKelly,2021-04-06,English,10.032,3.0,5.0,962
The Vanishing Statue,CarolynKeene,JorjeanaMarie,2020-06-16,English,3.66,5.0,6.0,245
Eye of the Earthquake Dragon,TraceyWest,EmilyEllet,2020-04-08,English,1.968,5.0,1.0,45
Peril at Granite Peak,FranklinW.Dixon,TimGregory,2016-01-21,English,3.66,5.0,3.0,210
The Disappearance of Emily Downs,C.J.Redwine,MiaSinclairJenness,2021-09-30,English,12.036,5.0,1.0,296
Into Thin Air,FranklinW.Dixon,TimGregory,2016-01-21,English,3.66,5.0,10.0,159
Once upon a Thriller,CarolynKeene,JorjeanaMarie,2015-09-24,English,3.66,5.0,12.0,141
The Magician's Nephew,C.S.Lewis,KennethBranagh,2005-08-29,English,3.636,5.0,7.0,235
The Snail and the Whale,JuliaDonaldson,ImeldaStaunton,2008-07-10,English,3.876,5.0,5.0,23
Tigers for Dinner,RuskinBond,AdnanKapadia,2017-01-01,English,3.408,4.5,20.0,39
The Hidden Kingdom,TuiT.Sutherland,ShannonMcManus,2016-01-07,English,6.9,5.0,9.0,454
Eagle Strike,AnthonyHorowitz,OliverChris,2021-05-20,English,6.828,5.0,2.0,417
Mystery on the Mayhem Express,FranklinW.Dixon,TimGregory,2021-06-22,English,3.66,5.0,1.0,238
Tunnel of Secrets,FranklinW.Dixon,TimGregory,2015-02-11,English,3.66,5.0,3.0,183
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,DavidPittu,2014-01-05,English,4.92,4.5,2.0,289
Treasure Island,RobertLouisStevenson,SamTaylor,2019-06-09,English,0.384,4.0,4.0,404
Minecraft: The Dragon,NickyDrayden,NicoleLewis,2021-06-07,English,12.06,5.0,1.0,411
Escape from Falaise,JohnFlanagan,JohnKeating,2021-01-12,English,9.564,4.5,2.0,457
Trapped in the Overworld,WinterMorgan,NicolZanzarella,2016-06-30,English,2.7960000000000003,5.0,3.0,114
The 143-Storey Treehouse,"AndyGriffiths,TerryDenton",StigWemyss,2021-10-19,English,3.876,5.0,1.0,100
Poison Jungle,TuiT.Sutherland,ShannonMcManus,2019-07-30,English,7.872,5.0,10.0,445
39 Clues: Cahills vs. Vespers,GordonKorman,DavidPittu,2011-08-30,English,7.032,5.0,5.0,322
The Last Kids on Earth: June's Wild Flight,"MaxBrallier,DouglasHolgate",MontseHernandez,2020-07-04,English,9.048,5.0,3.0,196
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",2021-02-04,English,5.904,5.0,5.0,159
Star Wars: The High Republic: A Test of Courage,JustinaIreland,KeylorLeigh,2021-05-01,English,9.048,4.0,2.0,274
The Red Slippers,CarolynKeene,JorjeanaMarie,2015-12-24,English,3.66,5.0,9.0,173
Captain Underpants and the Preposterous Plight of the Purple Potty People,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",2021-01-19,English,3.096,5.0,1.0,75
The Magician's Secret,CarolynKeene,JorjeanaMarie,2015-12-24,English,3.66,4.5,7.0,162
The Case of the Bizarre Bouquets,NancySpringer,KatherineKellgren,2008-11-04,English,7.308,4.5,3.0,219
The Phantom of Nantucket,CarolynKeene,JorjeanaMarie,2015-12-24,English,3.66,5.0,5.0,196
The Swamp Robber,PaulHutchens,AimeeLilly,2018-09-18,English,2.8080000000000003,5.0,1.0,164
The Magic Finger,RoaldDahl,KateWinslet,2014-11-09,English,7.38,4.5,14.0,26
The Adventures of Captain Underpants,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",2018-05-22,English,3.096,4.5,13.0,60
Secret at Mystic Lake,CarolynKeene,JorjeanaMarie,2015-09-28,English,3.66,4.5,14.0,156
"I Survived the Sinking of the Titanic, 1912",LaurenTarshis,LaurenFortgang,2016-03-29,English,2.244,5.0,1.0,76
Showdown at Widow Creek,FranklinW.Dixon,TimGregory,2016-02-02,English,3.66,5.0,3.0,166
Case of the Missing Marquess,NancySpringer,KatherineKellgren,2008-10-22,English,8.712,4.5,3.0,271
Nightshade,AnthonyHorowitz,RupertDegas,2020-05-28,English,7.74,4.5,11.0,607
Mystery of the Phantom Heist,FranklinW.Dixon,TimGregory,2015-02-11,English,3.66,5.0,6.0,179
The Golem's Eye,JonathanStroud,StevenPacey,2007-01-06,English,8.196,5.0,7.0,576
Howl of the Wind Dragon,TraceyWest,EmilyEllet,2021-02-11,English,3.096,5.0,1.0,47
Pony,R.J.Palacio,"IanM.Hawkins,R.J.Palacio",2021-09-28,English,7.38,4.0,1.0,433
Sparrow Rising,JessicaKhoury,"MichaelGallagher,EmilyEiden",2021-03-08,English,7.032,5.0,1.0,491
The Beatryce Prophecy,KateDiCamillo,FintyWilliams,2021-09-28,English,12.06,4.0,1.0,259
The Unadoptables,HanaTooke,GemmaWhelan,2020-07-23,English,7.38,5.0,1.0,567
The Professor and the Puzzle,CarolynKeene,JorjeanaMarie,2017-01-09,English,3.66,5.0,7.0,221
"The 39 Clues, Book 5",PatrickCarman,DavidPittu,2009-11-08,English,5.6160000000000005,5.0,8.0,240
Scorpia,AnthonyHorowitz,OliverChris,2020-01-30,English,7.74,4.5,2.0,506
A Con Artist in Paris,FranklinW.Dixon,TimGregory,2017-05-09,English,3.66,4.5,4.0,180
Tunnel of Bones,VictoriaSchwab,RebaBuhr,2019-03-09,English,5.904,4.5,8.0,305
The 13-Storey Treehouse,AndyGriffiths,StigWemyss,2017-10-05,English,3.876,5.0,1.0,96
"The 39 Clues, Book 9",LindaSuePark,DavidPittu,2010-05-24,English,5.628,5.0,7.0,285
Kid Normal and the Rogue Heroes,"ChrisSmith,GregJames","ChrisSmith,GregJames",2018-06-12,English,6.828,5.0,5.0,378
Treasure of the Gold Dragon,TraceyWest,EmilyEllet,2020-04-08,English,1.968,4.0,1.0,45
"The 1,000-Year-Old Boy",RossWelford,"ChrisCoxon,LukeJohnson",2018-11-01,English,3.864,4.5,11.0,444
Strangers on a Train,CarolynKeene,JorjeanaMarie,2014-12-28,English,3.66,4.5,17.0,199
Darkstalker,TuiT.Sutherland,ShannonMcManus,2016-01-07,English,7.872,5.0,11.0,590
Dinosaurs Before Dark,MaryPopeOsborne,MaryPopeOsborne,2006-08-22,English,3.612,5.0,1.0,41
The Monkey King,ShobhaViswanath,SaeedJaffrey,2020-06-03,English,3.408,5.0,4.0,27
Getting Granny’s Glasses,RuskinBond,RuskinBond,2019-11-29,English,2.4,4.0,4.0,19
Where the Red Fern Grows,WilsonRawls,AnthonyHeald,2003-10-24,English,12.06,4.5,7.0,416
"The 39 Clues, Book 10",MargaretPetersonHaddix,DavidPittu,2010-09-23,English,5.628,5.0,7.0,428
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",DavPilkey,"LenForgione,BenD'Amico,I’keMitchell",2020-03-11,English,3.096,4.0,1.0,83
The Carpet People,TerryPratchett,DavidTennant,2021-04-22,English,7.38,5.0,1.0,302
Clash at Fatal Fields,DevinHunter,RamondeOcampo,2018-08-28,English,7.0200000000000005,5.0,1.0,133
Deception on the Set,FranklinW.Dixon,TimGregory,2016-05-23,English,3.66,5.0,4.0,161
A Script for Danger,CarolynKeene,JorjeanaMarie,2015-09-22,English,3.66,4.5,5.0,176
The Battle of Bayport,FranklinW.Dixon,TimGregory,2016-07-03,English,3.66,5.0,6.0,210
Moon Rising,TuiT.Sutherland,ShannonMcManus,2016-08-29,English,6.9,5.0,6.0,450
Captain Underpants and the Attack of the Talking Toilets,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",2018-06-26,English,3.096,5.0,5.0,59
Holes,LouisSachar,KerryBeyer,2016-05-24,English,5.0040000000000004,4.5,15.0,270
"The 39 Clues, Book 1",RickRiordan,DavidPittu,2008-08-29,English,5.6160000000000005,4.5,11.0,311
